Date,High,Low,Open,Close,Volume,Adj Close
2016-10-31,784.1300048828125,778.4400024414062,784.1300048828125,778.77001953125,0.0,778.77001953125
2016-11-01,781.0,768.469970703125,779.219970703125,775.010009765625,0.0,775.010009765625
2016-11-02,778.6199951171875,770.8800048828125,774.3200073242188,771.25,0.0,771.25
2016-11-03,775.75,762.6300048828125,772.8599853515625,763.3300170898438,0.0,763.3300170898438
2016-11-04,774.5,763.2000122070312,763.2000122070312,769.1199951171875,0.0,769.1199951171875
2016-11-07,790.1099853515625,773.02001953125,773.02001953125,787.8099975585938,0.0,787.8099975585938
2016-11-08,794.75,781.4199829101562,785.8200073242188,789.4500122070312,0.0,789.4500122070312
2016-11-09,824.010009765625,794.0399780273438,794.0399780273438,816.530029296875,0.0,816.530029296875
2016-11-10,829.5399780273438,820.489990234375,821.0900268554688,826.260009765625,0.0,826.260009765625
2016-11-11,824.4400024414062,810.6400146484375,823.9500122070312,813.9099731445312,0.0,813.9099731445312
2016-11-14,815.8800048828125,809.5900268554688,815.219970703125,811.25,0.0,811.25
2016-11-15,813.8099975585938,806.0700073242188,811.97998046875,813.510009765625,0.0,813.510009765625
2016-11-16,814.989990234375,809.010009765625,813.27001953125,809.6300048828125,0.0,809.6300048828125
2016-11-17,813.3099975585938,808.3499755859375,810.0399780273438,813.1900024414062,0.0,813.1900024414062
2016-11-18,813.3400268554688,803.47998046875,812.6699829101562,803.9299926757812,0.0,803.9299926757812
2016-11-21,807.5700073242188,804.6500244140625,804.6500244140625,806.3200073242188,0.0,806.3200073242188
2016-11-22,807.9400024414062,789.7100219726562,806.6300048828125,795.0399780273438,0.0,795.0399780273438
2016-11-23,798.0800170898438,783.1099853515625,790.280029296875,798.0800170898438,0.0,798.0800170898438
2016-11-25,801.8599853515625,798.1699829101562,799.3400268554688,801.3699951171875,0.0,801.3699951171875
2016-11-28,800.5,794.02001953125,800.5,794.52001953125,0.0,794.52001953125
2016-11-29,802.530029296875,796.1300048828125,796.1500244140625,799.719970703125,0.0,799.719970703125
2016-11-30,800.02001953125,792.1199951171875,799.9600219726562,792.1300048828125,0.0,792.1300048828125
2016-12-01,793.9500122070312,784.4199829101562,792.9099731445312,786.1199951171875,0.0,786.1199951171875
2016-12-02,791.4600219726562,785.489990234375,787.0599975585938,788.5700073242188,0.0,788.5700073242188
2016-12-05,791.75,784.719970703125,790.760009765625,787.2999877929688,0.0,787.2999877929688
2016-12-06,789.469970703125,784.9099731445312,788.52001953125,789.2100219726562,0.0,789.2100219726562
2016-12-07,783.6699829101562,771.9400024414062,783.6699829101562,782.719970703125,0.0,782.719970703125
2016-12-08,784.760009765625,775.5800170898438,780.7100219726562,784.030029296875,0.0,784.030029296875
2016-12-09,795.0499877929688,787.47998046875,787.6900024414062,793.7000122070312,0.0,793.7000122070312
2016-12-12,798.4000244140625,792.530029296875,792.530029296875,797.75,0.0,797.75
2016-12-13,804.5700073242188,799.97998046875,799.97998046875,803.0900268554688,0.0,803.0900268554688
2016-12-14,807.489990234375,796.719970703125,803.6400146484375,799.6900024414062,0.0,799.6900024414062
2016-12-15,805.1799926757812,799.5999755859375,800.8200073242188,804.4000244140625,0.0,804.4000244140625
2016-12-16,808.4600219726562,802.7899780273438,806.4099731445312,805.5399780273438,0.0,805.5399780273438
2016-12-19,809.0499877929688,800.719970703125,805.1599731445312,801.4000244140625,0.0,801.4000244140625
2016-12-20,803.6799926757812,799.3499755859375,802.5599975585938,801.030029296875,0.0,801.030029296875
2016-12-21,801.760009765625,795.1500244140625,800.8099975585938,796.219970703125,0.0,796.219970703125
2016-12-22,797.6599731445312,792.25,795.97998046875,797.530029296875,0.0,797.530029296875
2016-12-23,803.8599853515625,797.9099731445312,798.1199951171875,803.780029296875,0.0,803.780029296875
2016-12-27,809.6199951171875,804.3900146484375,805.4400024414062,804.8599853515625,0.0,804.8599853515625
2016-12-28,805.22998046875,798.8599853515625,804.72998046875,799.0399780273438,0.0,799.0399780273438
2016-12-29,802.489990234375,798.8599853515625,799.25,799.8400268554688,0.0,799.8400268554688
2016-12-30,801.010009765625,794.8499755859375,800.3699951171875,796.9099731445312,0.0,796.9099731445312
2017-01-03,808.0399780273438,800.489990234375,801.0599975585938,808.0399780273438,0.0,808.0399780273438
2017-01-04,816.02001953125,809.1400146484375,809.4600219726562,813.6599731445312,0.0,813.6599731445312
2017-01-05,818.219970703125,812.6699829101562,814.5900268554688,817.5900268554688,0.0,817.5900268554688
2017-01-06,822.6900024414062,815.52001953125,819.0,820.25,0.0,820.25
2017-01-09,825.27001953125,819.0599975585938,820.0900268554688,823.9000244140625,0.0,823.9000244140625
2017-01-10,831.489990234375,823.530029296875,825.4199829101562,826.6599731445312,0.0,826.6599731445312
2017-01-11,830.2999877929688,810.8499755859375,827.5800170898438,818.0399780273438,0.0,818.0399780273438
2017-01-12,819.1500244140625,812.280029296875,815.9500122070312,818.6199951171875,0.0,818.6199951171875
2017-01-13,822.3200073242188,817.8499755859375,819.3099975585938,819.5,0.0,819.5
2017-01-17,816.8900146484375,809.030029296875,816.0700073242188,815.8200073242188,0.0,815.8200073242188
2017-01-18,818.7000122070312,812.8300170898438,817.72998046875,814.7999877929688,0.0,814.7999877929688
2017-01-19,813.989990234375,807.9000244140625,813.6500244140625,809.7000122070312,0.0,809.7000122070312
2017-01-20,812.9500122070312,806.5,810.0900268554688,807.3300170898438,0.0,807.3300170898438
2017-01-23,808.219970703125,800.989990234375,806.0499877929688,803.719970703125,0.0,803.719970703125
2017-01-24,803.1900024414062,794.52001953125,803.1400146484375,798.489990234375,0.0,798.489990234375
2017-01-25,805.8599853515625,798.3499755859375,800.3800048828125,805.3900146484375,0.0,805.3900146484375
2017-01-26,805.219970703125,799.489990234375,803.989990234375,799.6799926757812,0.0,799.6799926757812
2017-01-27,806.5499877929688,801.0800170898438,802.0900268554688,806.1099853515625,0.0,806.1099853515625
2017-01-30,805.5499877929688,798.8400268554688,804.6500244140625,802.77001953125,0.0,802.77001953125
2017-01-31,814.25,800.030029296875,800.8200073242188,814.0599975585938,0.0,814.0599975585938
2017-02-01,820.1799926757812,813.0,813.8300170898438,819.8499755859375,0.0,819.8499755859375
2017-02-02,821.72998046875,815.0700073242188,818.5700073242188,820.8900146484375,0.0,820.8900146484375
2017-02-03,825.739990234375,820.2000122070312,824.0,825.739990234375,0.0,825.739990234375
